,Band,Song,Player,Technique,Difficulty,Score
2293,Seether,Fuck It,Guitar 1,['Distortion Guitar'],Beginner,1/8
2294,Seether,69 Tea,Guitar 1,['Overdriven Guitar'],Beginner,2/8
2295,Seether,Pig,Guitar Effects,['Distortion Guitar'],Beginner,1/8
2296,Sads,The Life Beyond Desperation,Guitar II,['Distortion Guitar'],Beginner,2/8
2297,Silverchair,Trash,Bright Acoustic Piano,[],,
2298,Smile Empty Soul,Bottom Of A Bottle,Guitar 1- clean,['Electric Guitar (clean)'],Beginner,2/8
2299,Smile Empty Soul,Therapy,Sean,['Distortion Guitar 2'],Beginner,2/8
2300,Sum 41,Angels With Dirty Faces,Deryck,['Distortion Guitar'],Beginner,2/8
2301,Timo Kotipelto,Lord Of Eternity,Warmen E,['String Ensemble 1'],,
2302,Van Halen,Dirty Movies,Guitar 1,['Electric Guitar (jazz)'],Beginner,2/8
2303,Smashing Pumpkins,Quiet,Intro Guitar,['Distortion Guitar'],Beginner,2/8
2304,Puddle Of Mudd,Away From Me,Guitar 2,"['Wes Scantlin', 'Overdriven Guitar']",Beginner,1/8
2305,Puddle Of Mudd,Bring Me Down,Guitar 1,['Distortion Guitar'],Beginner,2/8
2306,Puddle Of Mudd,Control,Guitar 3,['Distortion Guitar'],Beginner,2/8
2307,Smashing Pumpkins,Cherry,Guitar 1 (Clean with Stutter and Delay),['Electric Guitar (jazz)'],Beginner,1/8
2308,Dir En Grey,New Age Culture,Sythn,['Gunshot'],,
2309,Brandyn Ruesink,Sick,Intro Guitar,['Distortion Guitar'],Intermediate,3/8
2310,Sads,Spider,Guitar I,['Distortion Guitar'],Intermediate,3/8
2311,Sads,Third Eyes Trial,Guitar II,['Distortion Guitar'],Intermediate,3/8
2312,Evanescence,The Only One,Distortion Guitar,[],Beginner,2/8
2313,Staind,Change,Track 1,['Distortion Guitar'],Beginner,2/8
2314,Staind,For You,Guitar 1,['Distortion Guitar'],Beginner,2/8
2315,69 Eyes,The Chair,Guitar II,['Distortion Guitar'],Beginner,1/8
2316,69 Eyes,Velvet Touch,Acoustic Grand Piano,[],,
2317,69 Eyes,Wasting The Dawn,Solo Guitar,['Overdriven Guitar'],Beginner,1/8
2318,Alice in Chains,Sludge Factory,Jerry Cantrell,['Overdriven Guitar'],Beginner,1/8
2319,Scars On Broadway,Universe,Danny,['Lead 1 (square)'],,
2320,Alice in Chains,Sunshine,Jerry: Solo,['Distortion Guitar'],Intermediate,3/8
2321,Black,Amra,Distortion Guitar,[],Intermediate,3/8
2322,Black,Apolap,Distortion Guitar,[],Intermediate,3/8
2323,Black Stone Cherry,Backwoods Gold,Piste 2,['Distortion Guitar'],Intermediate,4/8
2324,Böhse Onkelz,Ihr Httet Es Wissen Mssen,dist guitar,['Distortion Guitar'],Intermediate,3/8
2325,Collective Soul,Why,Guitar 3,['Overdriven Guitar'],Beginner,1/8
2326,Coma,Czas Globalnej Niepogody,Utwór 2,['Overdriven Guitar'],Beginner,2/8
2327,Days Of The New,How Do You Know You,Acoustic Guitar (Lead),['Acoustic Guitar (steel)'],Intermediate,3/8
2328,Days Of The New,Where I Stand,Guitar2,['Acoustic Guitar (steel)'],Intermediate,4/8
2329,Dir En Grey,Increase Blue,Die,['Distortion Guitar'],Intermediate,3/8
2330,Dir En Grey,Kasumi,:: Claviers ::,['Pad 3 (polysynth)'],,
2331,Hecate,Devils Never Cry,Track 3,['Distortion Guitar'],Beginner,1/8
2332,Koyled,Song02,voice,['Choir Aahs'],,
2333,10 Years,Seasons To Cycles,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2334,Sads,Rozario To Bara,Guitar II,['Distortion Guitar'],Intermediate,3/8
2335,Joe Satriani,Friends,Joe,"['lead guitar', 'Distortion Guitar']",Intermediate,4/8
2336,Van Halen,Inside,Synth,['Orchestra Hit'],,
2337,Van Halen,Hear About It Later,Guitar 1,['Electric Guitar (clean)'],Beginner,2/8
2338,Van Halen,Sinner's Swing!,Guitar 1,['Distortion Guitar'],Beginner,2/8
2339,Smashing Pumpkins,Doomsday Clock,Billy Corgan,['Distortion Guitar'],Beginner,2/8
2340,69 Eyes,Sleeping With Lions,Electric Guitar (clean),[],Beginner,2/8
2341,69 Eyes,Sister Of Charity,String Ensemble 1,[],,
2342,69 Eyes,Heaven-Hell,Ритм гитара,['Distortion Guitar'],Intermediate,3/8
2343,69 Eyes,Perfect Skin,Distortion Guitar 2,[],Intermediate,3/8
2344,69 Eyes,Devils,Keyboard,['String Ensemble 1'],,
2345,A Perfect Circle,The Outsider,Rhythm,['Distortion Guitar'],Intermediate,3/8
2346,Acceptance,So Contagious,kithara 2,['Acoustic Guitar (steel)'],Beginner,1/8
2347,Alice in Chains,Grind,Jerry Cantrell's Solo,['Distortion Guitar'],Intermediate,5/8
2348,Scars On Broadway,Chemicals,Spur 3,['Electric Guitar (clean)'],Beginner,2/8
2349,Avril Lavigne,One Of Those Girls,Devin Lead,['Distortion Guitar'],Intermediate,4/8
2350,Black Stone Cherry,Rollin On,Track 1,['Distortion Guitar'],Beginner,1/8
2351,Mayday Parade,Jamie All Over,Rhythm Guitar,['Overdriven Guitar'],Beginner,2/8
2352,Breaking Benjamin,Inertia,Aaron (Guitar 2),['Distortion Guitar'],Beginner,2/8
2353,Sadie,Meisai,Track 2,['Overdriven Guitar'],Intermediate,3/8
2354,Dir En Grey,Pledge,Die,['Distortion Guitar'],Beginner,2/8
2355,Dreadbread,Pines,Dima Guitar,['Distortion Guitar'],Intermediate,3/8
2356,Dreadbread,Halfmoon,Dima,['Electric Guitar (clean)'],Intermediate,3/8
2357,10 Years,Autumn Effect,Track 3,['Acoustic Guitar (nylon)'],Beginner,1/8
2358,10 Years,Actions And Motives,Guitar2,['Electric Guitar (clean)'],Beginner,2/8
2359,10 Years,Just Can't Win,wantland,['Electric Guitar (clean)'],Beginner,1/8
2360,12012,Icy Cold City,Hiroaki,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
2361,Alien Ant Farm,Whisper,Track 1,['Distortion Guitar'],Beginner,1/8
2362,Alter Bridge,New Way To Live,Mark Clean,['Electric Guitar (clean)'],Intermediate,4/8
2363,Anti Fitness Club,Jatszol Velem,Gitár 1,['Distortion Guitar'],Beginner,2/8
2364,Black Stone Cherry,Blind Man,Backing Vocals,['Choir Aahs'],,
2365,Coheed And Cambria,Shabutie - Nauraushaun,Rythm Guitar,['Electric Guitar (clean)'],Intermediate,3/8
2366,Cold,With My Mind,Clean ,['Acoustic Guitar (steel)'],Beginner,2/8
2367,Coma,Ostrosc Na Nieskonczonosc,Gitara 2,['Distortion Guitar'],Beginner,2/8
2368,Damiera,Chromatica,Dave Raymond,['Overdriven Guitar'],Intermediate,3/8
2369,David Meshow,Unfinished Dream,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
2370,Dir En Grey,Glass Skin,Kaoru,['Electric Guitar (jazz)'],Beginner,2/8
2371,Dir En Grey,Repetition Of Hatred,Die,['Distortion Guitar'],Intermediate,3/8
2372,Dir En Grey,Spilled Milk,Kaoru Acc.,['Distortion Guitar'],Beginner,1/8
2373,Dir En Grey,Rotting Root,Kaoru,['Overdriven Guitar'],Intermediate,3/8
2374,Dir En Grey,Grief,Kaoru,['Overdriven Guitar'],Intermediate,3/8
2375,Disidente,Escala De Violencia,Lira 1,['Distortion Guitar'],Beginner,2/8
2376,The Early November,Fluxy,Guitar 2,['Distortion Guitar'],Intermediate,3/8
2377,The Early November,Course Of A Human Life,Guitar 1,['Electric Guitar (clean)'],Intermediate,3/8
2378,Europe,Hero,Spor 1,['Acoustic Guitar (steel)'],Intermediate,4/8
2379,The Beatles,I Want You (She's So Heavy),Lead (Harrison)-Les Paul ,['Electric Guitar (jazz)'],Intermediate,3/8
2380,Tool,Schism,Adam Jones (Guitar I),['Distortion Guitar'],Intermediate,3/8
2381,Avenged Sevenfold,Unholy Confessions,Synyster Gates,['Distortion Guitar'],Intermediate,3/8
2382,Rammstein,Sonne,Paul Landers (L/R),['Distortion Guitar'],Intermediate,3/8
2383,Rammstein,Deutschland,Paul Landers ,['Distortion Guitar'],Beginner,2/8
2384,Antonio Vivaldi,The Four Seasons Summer,Rythym,['Distortion Guitar'],Intermediate,4/8
2385,Tool,Pneuma,Distortion Guitar,[],Intermediate,3/8
2386,Green Day,Boulevard Of Broken Dreams,Rob Cavallo,['Bright Acoustic Piano'],,
2387,Rage Against The Machine,Killing In The Name,Tom Morello,"['Solo Guitar', 'Distortion Guitar']",Intermediate,3/8
2388,Eric Clapton,Layla (Acoustic),Chuck Leavell,['Acoustic Grand Piano'],,
2389,Pantera,Cemetery Gates,Rex Brown,['Acoustic Guitar (steel) 2'],Intermediate,3/8
2390,Avenged Sevenfold,Shepherd Of Fire,Synyster Gates,['Distortion Guitar'],Beginner,2/8
2391,Avenged Sevenfold,So Far Away,Strings,['String Ensemble 1'],,
2392,Metallica,Eye Of The Beholder,Jason Newstead (Backing Vocals),['Alto Sax'],,
2393,Volbeat,Guitar Gangsters And Cadilac Blood,Spor 1,['Distortion Guitar'],Beginner,2/8
2394,Tool,Ticks & Leeches,Guitar 2,['Distortion Guitar'],Intermediate,4/8
2395,Motley Crue,Kickstart My Heart (Drop D),Mick Mars Rhytm Guitar,['Distortion Guitar'],Intermediate,3/8
2396,Metallica,Sad But True (Drop D),James Hetfield,['Distortion Guitar'],Beginner,2/8
2397,Diaura,Lost November,Lead Guitar 1,['Distortion Guitar'],Intermediate,3/8
2398,The Prodigy,Voodo People,Utwór 6,['Overdriven Guitar'],Intermediate,3/8
2399,Paramore,All We Know,Josh Farro,['Overdriven Guitar'],Beginner,1/8
2400,Steve Hansen,Giorno_s Theme - JoJo_s Bizarre Adventure Golden Wind OST,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,4/8
2401,Shawn Cochran,Total Drama Island (Drop D),Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
2402,Deco*27 Feat. Hatsune Miku,HIBANA in D drop,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8
2403,Misc Computer Games - Team Fortress 2,MEDIC!,Horn 2,['French Horn'],,
2404,Akiakane,Bye Baby Sayonara,Guitar ,['Distortion Guitar'],Intermediate,3/8
2405,Wallaxe,elisf inger,A.J. Minette,['Distortion Guitar'],Beginner,2/8
2406,Noddy,20,Distortion Guitar,[],Beginner,2/8
2407,Wyrmura,upchucktempo.gp5,Track 3,['Distortion Guitar'],Beginner,2/8
2408,Saint Asonia,Better Late Than Never,Lead (lower octave),['Distortion Guitar'],Beginner,2/8
2409,Noddy,19,Clean Guitar,['Electric Guitar (clean) 1'],Intermediate,4/8
2410,Noddy,18,Distortion Guitar,[],Beginner,2/8
2411,Weywot,two guns,Track 1,['Electric Guitar (jazz)'],Intermediate,3/8
2412,D Dixon,Sunflower.,r1,['Acoustic Guitar (nylon)'],Beginner,2/8
2413,The West,Dancing Line,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
2414,Porcupine Tree,Rats Return,Electric Grand Piano,[],,
2415,Noddy,16,Distortion Guitar,[],Intermediate,4/8
2416,Story Of The Year,Until The Day I Die,Ryan Phillips,"['Lead', 'Distortion Guitar']",Intermediate,3/8
2417,Wallaxe,Papa,Gutiar,['Acoustic Guitar (nylon)'],Beginner,2/8
2418,Nirvana,Stain,Guitar 2,['Distortion Guitar'],Beginner,2/8
2419,Snougy,Metallica Song!,Track 1,['Distortion Guitar'],Intermediate,3/8
2420,Кто-То,Drop D,Distortion Guitar,[],Beginner,2/8
2421,Scremter,Cool Song,Lead Guitar,['Distortion Guitar'],Intermediate,3/8
2422,Luisxvilp811,L. 022,Ritmica,['Distortion Guitar'],Beginner,2/8
2423,Snougy,Posthardcore breakdown? lol,Track 1,['Distortion Guitar'],Intermediate,4/8
2424,Outside City Limits,Community Feel,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8
2425,Outlaw,Prison,Track 2,['Acoustic Guitar (steel)'],Beginner,2/8
2426,Deftones,Lifter,Guitar / Stef Carpenter,['Distortion Guitar 1'],Beginner,2/8
2427,Weywot,carmel,Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8
2428,i̇şsizproject,İşsizinşarkıları,Distortion Sol,['Distortion Guitar'],Intermediate,5/8
2429,Blink-182,Kaleidoscope,Tom Delonge,['Overdriven Guitar'],Beginner,2/8
2430,Deftones,7 Words,Stephen Carpenter,['Distortion Guitar'],Beginner,2/8
2431,Metallica,Sad But True (Original - E Bass),Kirk Hammett,['Distortion Guitar'],Intermediate,3/8
2432,Opeth,Demon Of The Fall,Mikael Akerfeldt,['Distortion Guitar'],Intermediate,4/8
2433,Slump,Tender,Track 2,['Distortion Guitar'],Beginner,2/8
2434,Noddy,15,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8
2435,Lemon Demon,Lifetime Achievement Award,Distortion Guitar,[],Intermediate,3/8
2436,Paramore,Now,Gtr R,['Distortion Guitar'],Intermediate,4/8
2437,My Anarchist Angel,200 bpm ay no,Distortion Guitar 1,[],Intermediate,3/8
2438,Hiddenthing,hytgfrcdexsz,Track 4,['Distortion Guitar'],Beginner,2/8
2439,Sleepwalking,Bring Me The Horizon,Track 1,['Distortion Guitar'],Beginner,2/8
2440,Luisxvilp811,L. 016,Guitarra 3,['Distortion Guitar'],Intermediate,3/8
2441,Недодмитрий,крупный бутыль дроп д,Distortion Guitar 1,[],Beginner,2/8
2442,State Champs,Dead And Gone,Backing,['Overdriven Guitar'],Beginner,2/8
2443,A Day To Remember,If I Leave,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8
2444,Banished Archangels,The way of the bitch,Lead,['Distortion Guitar'],Beginner,2/8
2445,Banished Archangels,No more,Guitarra Limpia 2,['Electric Guitar (clean)'],Beginner,2/8
2446,The River Unrest,Michael Where's The Salsa?,Distortion Guitar 1,['Distortion Guitar'],Intermediate,3/8
2447,Mawinswag,Fleshie,Lead Guitar,['Distortion Guitar'],Beginner,2/8
2448,Shawn Cochran,Upbeat Chorus Idea,Track 1,['Distortion Guitar'],Beginner,2/8
2449,Juan,"}asdwqewqewq´{xzzxvxz{fwq{/3""!#!""",Track 1,['Distortion Guitar'],Beginner,2/8
2450,Vivarush,mikan sei bakudan,Distortion Guitar,[],Beginner,2/8
2451,Ambleside,Wash Away,Guitar Lead,['Acoustic Guitar (steel)'],Beginner,2/8
2452,Pigstyle,Annoyance,Track 3,['Distortion Guitar'],Intermediate,3/8
2453,Machine Gun Kelly,Forget Me Too,Rhythm 1,['Distortion Guitar'],Beginner,2/8
2454,Shrine,another another demo,Track 1,['Distortion Guitar'],Intermediate,4/8
2455,Juan,NJSDSAKDKNJKASNMNMNMMNMM,Track 1,['Distortion Guitar'],Beginner,2/8
2456,Mub,Pirates Medley,Lead Guitar,['Distortion Guitar'],Beginner,2/8
2457,Juan,´´p{´p´p{p´{p´p´{pjhknhgjtyrt,Track 1,['Distortion Guitar'],Beginner,2/8
2458,Oxt,hollow hunger,Lead,['Distortion Guitar'],Intermediate,3/8
2459,Konhard,sdhjagtfuyfybasdfibsatodie,Track 1,['Distortion Guitar 2'],Intermediate,4/8
2460,Division,New babuyna,Track 7,['Distortion Guitar'],Beginner,2/8
2461,Hehe,haha,Track 2,['Distortion Guitar'],Beginner,2/8
2462,Tweaker,DOOM 3 Main Theme,Guitar 01,['Overdriven Guitar'],Intermediate,3/8
2463,Mental Fog,Sensory Overload,Lead Guitaer,['Distortion Guitar'],Intermediate,4/8
2464,Rom,Primadonna,Right Guitar,['Distortion Guitar'],Intermediate,4/8
2465,9mm Parabellum Bullet,スタンドバイミー,Takuro Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
2466,Rom,Bed Notes,Rhythm Guitar,['Overdriven Guitar 2'],Intermediate,3/8
2467,Rom,Potted Plants,Distorted Guitar,['Distortion Guitar 1'],Beginner,2/8
2468,Rom,Goliath's Four-Twentieth Dollar,Lead Guitar,['Distortion Guitar 2'],Intermediate,4/8
2469,Rom,Tom Nook the Crook,Rhythm Guitar,['Distortion Guitar'],Intermediate,3/8
2470,Kawaii Terror!,私の心、あなたの手,Lead 1 (square),[],,
2471,Kawaii Terror!,808 Heartbreak,Guitar 2 (Over),['Lead 2 (sawtooth)'],,
2472,Ben Mason,3.yr,Distortion Guitar 1,[],Intermediate,3/8
2473,Rom,Stack Cats,Guitar 1 (Lead),['Distortion Guitar'],Intermediate,4/8
2474,Rom,Feathers,Aux Lead,['Distortion Guitar'],Intermediate,4/8
2475,Фотоген,Так Проще!,Rhytm Guitar,['Distortion Guitar'],Beginner,2/8
2476,Lorikk,Nikocado Avocado will die on the 16th of february 2022,Track 1,['Distortion Guitar'],Intermediate,4/8
2477,Horizon Flame,Zalupa,Distortion Guitar 1,[],Intermediate,3/8
2478,Billy Talent,The Wolf,Ian D'Sa,['Acoustic Guitar (steel)'],Beginner,2/8
2479,Horizon Flame,"Dancing people, fuking people",Distortion Guitar 3,[],Beginner,2/8
2480,Mental Fog,For Whom the Bell Tolls,Lead Guitar,['Overdriven Guitar'],Intermediate,3/8
2481,Transcend Time,Transcend Time,Lead 2 (sawtooth),[],,
2482,Natewantstobattle,Shell,Rhythm Guitar,['Overdriven Guitar'],Beginner,2/8
2483,Natewantstobattle,Hero of Our Time,Lead,['Overdriven Guitar'],Intermediate,4/8
2484,Natewantstobattle,Grounded,Rhythm Guitar,['Overdriven Guitar'],Beginner,2/8
2485,Natewantstobattle,Drowning,Rhythm Guitar,['Overdriven Guitar'],Beginner,2/8
2486,Natewantstobattle,The Evil King,Lead Guitar,['Overdriven Guitar'],Beginner,2/8
2487,Belki Biraz,Aklımda Biri Var,Overdriven Guitar 2,[],Beginner,2/8
2488,Julian Lachniet,In the Shadow,Acoustic Grand Piano,[],,
2489,Droch,stringskip,Electric Guitar,['Distortion Guitar'],Intermediate,4/8
2490,Yellowcard,Ocean Avenue,Ryan Key,"['Rhythm Guitar', 'Distortion Guitar']",Beginner,2/8
2491,Susliki,666,Ample Metal Eclipse 1,['Distortion Guitar'],Beginner,2/8
2492,Cheesecake Blizzard,horro,Clean Guitar,['Electric Guitar (clean) 2'],Beginner,2/8
2493,Falling In Reverse,Voices In My Head,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8
2494,Metallica,Master Of Puppets (Drop D),Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
2495,Avenged Sevenfold,So Far Away (instrumental),Strings,['String Ensemble 1'],,
2496,Primus,Shake Hands With Beef (Solo),Distortion Guitar,[],Intermediate,4/8
2497,Бранный Калькулятор,Мясной Глеб,Track 1,['Distortion Guitar'],Intermediate,4/8
2498,Kronowski,The Pyre,Drop D,['Overdriven Guitar'],Intermediate,5/8
2499,Bloodywood,Ari Ari,Rhythm Guitar,['Distortion Guitar'],Intermediate,3/8
2500,Limbezz,Lunegurt,Track 1,['Distortion Guitar'],Beginner,2/8
2501,Vacant Home,Shiver,E.Guitar II (Right),['Overdriven Guitar'],Beginner,2/8
2502,Rammstein,Liebe Ist Für Alle Da (correct guitar),Paul H. Landers,['Distortion Guitar'],Intermediate,3/8
2503,Three Days Grace,Scared,Lead Guitar I,['Distortion Guitar'],Beginner,1/8
2504,Кто-То,какая то дичь в дропе ре,Distortion Guitar R.,['Distortion Guitar'],Intermediate,4/8
2505,Deftones,Teething,guitar [Stef Carpenter],['Distortion Guitar'],Intermediate,3/8
2506,My Chemical Romance,I'm Not Okay (I Promise) In Drop D,Piano (Staff 1),['Acoustic Grand Piano'],,
2507,Bring Me The Horizon,Drown (Drop D),Synth 1,['FX 3 (crystal)'],,
2508,Mesi,mesi,Electric Guitar,['Distortion Guitar'],Intermediate,3/8
2509,Skillet,Those Nights,Korey Cooper Piano 3,['Acoustic Grand Piano'],,
2510,Roman Pakholok,Not Seeing Is Believing,Track 2,['Distortion Guitar'],Intermediate,4/8
2511,Psychonaut 4,Personal Forest,Synths,['String Ensemble 1'],,
2512,Мукка,Танцуй до утра,Пианино,['Acoustic Grand Piano'],,
2513,Capsicum,Butchered Lamb,Track 1,['Distortion Guitar'],Intermediate,3/8
2514,Avenged Sevenfold,A Little Piece of Heaven,Tuba,[],,
2515,Czernabog,UHP,Track 2,['Distortion Guitar'],Intermediate,4/8
2516,Anarchy Club,Collide,Solo Guitar (Clean),['Electric Guitar (clean)'],Beginner,2/8
2517,Galendwagen,рыночные отношения,Distortion Guitar 1,[],Beginner,2/8
2518,Npc,Foreverlong,Overdriven Guitar,[],Beginner,2/8
2519,Witchcraft,Democracy,Pista 1,['Overdriven Guitar'],Intermediate,3/8
2520,Me,Random Solo Thirteen (with backing track),Track 2,['Distortion Guitar 2'],Beginner,2/8
2521,The Living Tombstone,Like a Spinning Record,Dist. Guitar,['Overdriven Guitar'],Beginner,2/8
2522,The Living Tombstone,Like a Spinning Record,Clean guitar,['Acoustic Guitar (nylon)'],Beginner,2/8
2523,The Living Tombstone,Like a Spinning Record,Synth,['Lead 2 (sawtooth)'],,
2524,Me,Random Solo Fifteen,Track 1,['Distortion Guitar 1'],Intermediate,5/8
2525,Me,Random Solo Fifteen,Track 1,['Distortion Guitar 2'],Intermediate,3/8
2526,Me,Random Solo Fifteen,Track 1,['Distortion Guitar 1'],Intermediate,5/8
2527,Ministry,Rio Grande Blood,Track 6,['Distortion Guitar'],Advanced,8/8
2528,Rage Against The Machine,Killing In The Name Of,Tom Morello,"['Main ', 'Distortion Guitar']",Intermediate,3/8
2529,28 Days Later,In a Heartbeat(metal cover),Distortion Guitar 1,[],Beginner,2/8
2530,28 Days Later,In the House - In a Heartbeat (metal cover),Distortion Guitar 2,[],Beginner,2/8
2531,Mud Flow,Chemicals,Electric Guitar,['Distortion Guitar'],Beginner,2/8
2532,Jeff Williams,Red Like Roses,Backing Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8
2533,Ntcn,lil pernul original,Distortion Guitar,[],Beginner,2/8
2534,Ntcn,lil pernul bro,Distortion Guitar,[],Beginner,2/8
2535,Martin Sames,Neo Classic Arpeggio,Distortion Guitar,[],Advanced,7/8
2536,Mawinswag,rgb,Guitar 2,['Distortion Guitar'],Intermediate,3/8
2537,The Beatles,Across The Universe,Orchestral Harp,[],,
2538,Virgin's Joy,Break the shacles,Track 1,['Distortion Guitar'],Beginner,2/8
2539,Virgin's Joy,Break the Shakles,Track 1,['Distortion Guitar'],Beginner,2/8
2540,Virgin's Joy,Break,Track 1,['Distortion Guitar'],Beginner,2/8
2541,Csakos1337,Hatrid,Distortion Guitar 1,[],Intermediate,3/8
2542,Csakos1337,shesh,Distortion Guitar 1,[],Intermediate,4/8
2543,Bench Players,Summer Still Goes On,Track 6,['Oboe'],,
2544,Bench Players,In My Head,Distortion Guitar 2,[],Beginner,2/8
2545,Mawinswag,K.t,Track 2,['Distortion Guitar'],Intermediate,3/8
2546,Mawinswag,KT,Track 1,['Distortion Guitar'],Intermediate,3/8
2547,Galendwagen,девушка продает свое тело в телеграм,Distortion Guitar 2,[],Beginner,2/8
2548,Galendwagen,пост панк,Distortion Guitar 3,[],Beginner,2/8
2549,Galendwagen,bullet time,Distortion Guitar 1,[],Beginner,2/8
2550,Insomnia,Alcohol,guitarra ritmica,['Distortion Guitar'],Beginner,2/8
2551,Helmet,Unsung,Peter Mengede,['Distortion Guitar'],Beginner,2/8
2552,Nesto,Nesto,Track 2,['Acoustic Guitar (steel)'],Beginner,2/8
2553,Bench Players,Wake Up Your Mind,Electric Guitar,['Distortion Guitar'],Intermediate,4/8
